PacketSize,Bandwidth,Duration,TX_Pkts,RX_Pkts,DiffTxRx,DiffTxRxPercent,Corrupted_Packets,Corrupted_Packets/RX_Pkts%,Corrupted_Packets/TX_Pkts%,Date
50,1M,10,905,904,1,0.11,807,89.27,89.17,2022-11-14 15:57:23.058889
50,1M,10,903,902,1,0.11,795,88.14,88.04,2022-11-14 15:57:41.406716
50,1M,10,903,901,2,0.22,801,88.9,88.7,2022-11-14 15:57:59.738059
50,100M,10,905,904,1,0.11,807,89.27,89.17,2022-11-14 15:58:18.071624
50,100M,10,903,900,3,0.33,808,89.78,89.48,2022-11-14 15:58:36.407065
50,100M,10,903,902,1,0.11,802,88.91,88.82,2022-11-14 15:58:54.748765
1000,1M,10,905,903,2,0.22,800,88.59,88.4,2022-11-14 15:59:13.099688
1000,1M,10,903,902,1,0.11,797,88.36,88.26,2022-11-14 15:59:31.456023
1000,1M,10,904,904,0,0.0,812,89.82,89.82,2022-11-14 15:59:49.796473
1000,100M,10,905,905,0,0.0,797,88.07,88.07,2022-11-14 16:00:08.125782
1000,100M,10,903,903,0,0.0,803,88.93,88.93,2022-11-14 16:00:26.464215
1000,100M,10,904,904,0,0.0,800,88.5,88.5,2022-11-14 16:00:44.790670
1470,1M,10,905,904,1,0.11,795,87.94,87.85,2022-11-14 16:01:03.114032
1470,1M,10,903,902,1,0.11,801,88.8,88.7,2022-11-14 16:01:21.467855
1470,1M,10,903,903,0,0.0,811,89.81,89.81,2022-11-14 16:01:39.814877
1470,100M,10,905,905,0,0.0,813,89.83,89.83,2022-11-14 16:01:58.176393
1470,100M,10,903,901,2,0.22,805,89.35,89.15,2022-11-14 16:02:16.527609
1470,100M,10,903,902,1,0.11,792,87.8,87.71,2022-11-14 16:02:34.902106
1470,1M,10,905,904,1,0.11,804,88.94,88.84,2022-11-14 16:08:33.111260
1470,1M,10,903,902,1,0.11,805,89.25,89.15,2022-11-14 16:08:51.452827
1470,1M,10,905,905,0,0.0,800,88.4,88.4,2022-11-14 16:09:09.803489
1470,100M,10,903,901,2,0.22,801,88.9,88.7,2022-11-14 16:09:28.165485
1470,100M,10,903,901,2,0.22,817,90.68,90.48,2022-11-14 16:09:46.528563
1470,100M,10,905,904,1,0.11,810,89.6,89.5,2022-11-14 16:10:04.870158
1470,1M,10,905,903,2,0.22,812,89.92,89.72,2022-11-14 16:11:59.677419
1470,1M,10,905,905,0,0.0,810,89.5,89.5,2022-11-14 16:13:06.367588
1470,1M,10,905,904,1,0.11,793,87.72,87.62,2022-11-14 16:21:37.120533
1470,1M,10,905,905,0,0.0,799,88.29,88.29,2022-11-14 16:24:01.179202
1470,1M,10,905,904,1,0.11,807,89.27,89.17,2022-11-14 16:24:50.300366
1470,1M,10,903,903,0,0.0,806,89.26,89.26,2022-11-14 16:34:16.830710
1470,1M,10,905,903,2,0.22,807,89.37,89.17,2022-11-14 16:35:13.109725
1470,1M,10,905,903,2,0.22,797,88.26,88.07,2022-11-14 16:35:48.108699
1470,1M,10,905,903,2,0.22,808,89.48,89.28,2022-11-14 16:44:35.710929
1470,1M,10,905,902,3,0.33,805,89.25,88.95,2022-11-14 16:45:27.581219
1470,1M,10,903,903,0,0.0,806,89.26,89.26,2022-11-14 16:45:51.693628
1470,1M,10,897,897,0,0.0,894,99.67,99.67,2022-11-14 16:54:20.111782
50,1M,10,897,897,0,0.0,894,99.67,99.67,2022-11-14 16:56:28.115308
50,100M,10,898,898,0,0.0,894,99.55,99.55,2022-11-14 16:56:44.043170
1000,1M,10,895,895,0,0.0,894,99.89,99.89,2022-11-14 16:56:59.920459
1000,100M,10,896,896,0,0.0,894,99.78,99.78,2022-11-14 16:57:15.753879
1470,1M,10,897,897,0,0.0,894,99.67,99.67,2022-11-14 16:57:31.580699
1470,100M,10,897,897,0,0.0,894,99.67,99.67,2022-11-14 16:57:47.409228
50,1M,10,897,897,0,0.0,894,99.67,99.67,2022-11-14 17:06:15.907361
50,100M,10,897,897,0,0.0,894,99.67,99.67,2022-11-14 17:06:31.738168
1000,1M,10,895,895,0,0.0,894,99.89,99.89,2022-11-14 17:06:47.552544
1000,100M,10,897,897,0,0.0,894,99.67,99.67,2022-11-14 17:07:03.392316
