PacketSize,Bandwidth,Duration,TX_Pkts,RX_Pkts,DiffTxRx,DiffTxRxPercent,Corrupted_Packets,Corrupted_Packets/RX_Pkts%,Corrupted_Packets/TX_Pkts%,Date
50,10K,10,820,900,-80,-9.76,804,89.33,98.05,2022-11-14 04:04:36.901284
50,10K,10,819,900,-81,-9.89,805,89.44,98.29,2022-11-14 04:04:53.179042
50,10K,10,822,898,-76,-9.25,809,90.09,98.42,2022-11-14 04:05:09.444228
50,1M,10,827,903,-76,-9.19,803,88.93,97.1,2022-11-14 04:05:25.695448
50,1M,10,825,901,-76,-9.21,811,90.01,98.3,2022-11-14 04:05:41.921749
50,1M,10,820,900,-80,-9.76,799,88.78,97.44,2022-11-14 04:05:58.134996
50,100M,10,821,901,-80,-9.74,800,88.79,97.44,2022-11-14 04:06:14.358625
50,100M,10,823,900,-77,-9.36,804,89.33,97.69,2022-11-14 04:06:30.595880
50,100M,10,821,901,-80,-9.74,808,89.68,98.42,2022-11-14 04:06:46.830682
50,500M,10,824,902,-78,-9.47,789,87.47,95.75,2022-11-14 04:07:03.061621
50,500M,10,816,899,-83,-10.17,798,88.77,97.79,2022-11-14 04:07:19.286194
50,500M,10,818,898,-80,-9.78,825,91.87,100.86,2022-11-14 04:07:35.517597
50,1000pps,10,822,904,-82,-9.98,811,89.71,98.66,2022-11-14 04:07:51.772471
50,1000pps,10,823,901,-78,-9.48,800,88.79,97.21,2022-11-14 04:08:08.043651
50,1000pps,10,823,901,-78,-9.48,791,87.79,96.11,2022-11-14 04:08:24.286925
50,10K,60,5285,5358,-73,-1.38,4782,89.25,90.48,2022-11-14 04:09:30.815974
50,10K,60,5287,5360,-73,-1.38,4771,89.01,90.24,2022-11-14 04:10:37.370545
50,10K,60,5284,5356,-72,-1.36,4731,88.33,89.53,2022-11-14 04:11:43.948559
50,1M,60,5287,5359,-72,-1.36,4776,89.12,90.33,2022-11-14 04:12:50.505067
50,1M,60,5280,5357,-77,-1.46,4790,89.42,90.72,2022-11-14 04:13:57.068542
50,1M,60,5278,5357,-79,-1.5,4768,89.01,90.34,2022-11-14 04:15:03.638245
50,100M,60,5276,5356,-80,-1.52,4788,89.4,90.75,2022-11-14 04:16:10.201783
50,100M,60,5274,5354,-80,-1.52,4777,89.22,90.58,2022-11-14 04:17:16.779190
50,100M,60,5282,5353,-71,-1.34,4784,89.37,90.57,2022-11-14 04:18:23.333131
50,500M,60,5283,5357,-74,-1.4,4764,88.93,90.18,2022-11-14 04:19:29.891078
50,500M,60,5276,5359,-83,-1.57,4741,88.47,89.86,2022-11-14 04:20:36.463723
50,500M,60,5279,5357,-78,-1.48,4787,89.36,90.68,2022-11-14 04:21:43.006783
50,1000pps,60,5279,5356,-77,-1.46,4755,88.78,90.07,2022-11-14 04:22:49.586433
50,1000pps,60,5283,5357,-74,-1.4,4781,89.25,90.5,2022-11-14 04:23:56.153278
50,1000pps,60,5281,5356,-75,-1.42,4777,89.19,90.46,2022-11-14 04:25:02.721760
50,10K,300,26701,26756,-55,-0.21,23820,89.03,89.21,2022-11-14 04:30:10.844857
50,10K,300,26701,26758,-57,-0.21,23767,88.82,89.01,2022-11-14 04:35:19.011170
50,10K,300,26692,26744,-52,-0.19,23813,89.04,89.21,2022-11-14 04:40:27.156638
50,1M,300,26696,26752,-56,-0.21,23793,88.94,89.13,2022-11-14 04:45:35.286648
50,1M,300,26696,26740,-44,-0.16,23784,88.95,89.09,2022-11-14 04:50:43.422999
50,1M,300,26697,26744,-47,-0.18,23798,88.98,89.14,2022-11-14 04:55:51.574584
50,100M,300,26695,26750,-55,-0.21,23823,89.06,89.24,2022-11-14 05:00:59.726175
50,100M,300,26694,26746,-52,-0.19,23814,89.04,89.21,2022-11-14 05:06:07.869927
50,100M,300,26686,26741,-55,-0.21,23757,88.84,89.02,2022-11-14 05:11:15.994056
50,500M,300,26700,26755,-55,-0.21,23871,89.22,89.4,2022-11-14 05:16:24.125571
50,500M,300,26702,26750,-48,-0.18,23784,88.91,89.07,2022-11-14 05:21:32.283396
50,500M,300,26695,26751,-56,-0.21,23796,88.95,89.14,2022-11-14 05:26:40.394533
50,1000pps,300,26687,26744,-57,-0.21,23774,88.89,89.08,2022-11-14 05:31:48.543822
50,1000pps,300,26692,26758,-66,-0.25,23781,88.87,89.09,2022-11-14 05:36:56.698952
50,1000pps,300,26700,26750,-50,-0.19,23777,88.89,89.05,2022-11-14 05:42:04.844656
50,10K,1800,160555,160489,66,0.04,142751,88.95,88.91,2022-11-14 06:12:22.819887
50,10K,1800,160522,160437,85,0.05,142596,88.88,88.83,2022-11-14 06:42:40.609876
50,10K,1800,160546,160469,77,0.05,142952,89.08,89.04,2022-11-14 07:12:58.794947
50,1M,1800,160545,160466,79,0.05,142823,89.01,88.96,2022-11-14 07:43:16.769689
50,1M,1800,160549,160492,57,0.04,142812,88.98,88.95,2022-11-14 08:13:34.784596
50,1M,1800,160546,160452,94,0.06,142868,89.04,88.99,2022-11-14 08:43:52.598592
50,100M,1800,160542,160457,85,0.05,142896,89.06,89.01,2022-11-14 09:14:10.639817
50,100M,1800,90129,90003,126,0.14,80072,88.97,88.84,2022-11-14 10:14:42.024484
